date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:27:37	49258/49258	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2010:27:39%20GMT	https://www.schoolsolver.com/question/18114-infinity/	C:/My%20Web%20Sites/schoolsolver/www.schoolsolver.com/question/18114-infinity/index.html	(from https://www.schoolsolver.com/)
13:27:37	2798/2798	---M--	200	added ('OK')	image/jpeg	etag:%22b4407b71e790114d1ab6f7b710069c43%22	https://res.cloudinary.com/schoolsolver/image/fetch/w_100,h_100,f_auto,q_75/https://schoolsolver.s3.amazonaws.com/media/profile_photos/andreig.jpg	C:/My%20Web%20Sites/schoolsolver/res.cloudinary.com/schoolsolver/image/fetch/w_100,h_100,f_auto,q_75/https_/schoolsolver.s3.amazonaws.com/media/profile_photos/andreig.jpg	(from https://www.schoolsolver.com/)
13:27:43	121199/121199	---M--	200	added ('OK')	application/javascript	etag:%226a149d6ef4cd817b9ca0747ca86325e5%22	http://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/schoolsolver/platform.twitter.com/widgets.js	(from https://www.schoolsolver.com/)
13:27:43	60839/60839	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2010:27:41%20GMT	https://www.schoolsolver.com/userprofile/6904/	C:/My%20Web%20Sites/schoolsolver/www.schoolsolver.com/userprofile/6904/index.html	(from https://www.schoolsolver.com/)
13:27:44	49433/49433	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2010:27:42%20GMT	https://www.schoolsolver.com/userprofile/17/	C:/My%20Web%20Sites/schoolsolver/www.schoolsolver.com/userprofile/17/index.html	(from https://www.schoolsolver.com/)
13:27:44	129395/129395	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2010:27:44%20GMT	https://www.schoolsolver.com/userprofile/1731/	C:/My%20Web%20Sites/schoolsolver/www.schoolsolver.com/userprofile/1731/index.html	(from https://www.schoolsolver.com/)
13:27:44	89108/89108	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2010:27:47%20GMT	https://www.schoolsolver.com/tos/	C:/My%20Web%20Sites/schoolsolver/www.schoolsolver.com/tos/index.html	(from https://www.schoolsolver.com/)
13:27:45	23568/23568	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2010:27:48%20GMT	https://www.schoolsolver.com/blog/	C:/My%20Web%20Sites/schoolsolver/www.schoolsolver.com/blog/index.html	(from https://www.schoolsolver.com/)
13:27:45	2765/2765	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202016%2022:40:09%20GMT	https://dw0mieutazhgr.cloudfront.net/bower_components/jquery.fitvids/jquery.fitvids.js	C:/My%20Web%20Sites/schoolsolver/dw0mieutazhgr.cloudfront.net/bower_components/jquery.fitvids/jquery.fitvids.js	(from https://www.schoolsolver.com/)
13:27:47	5513/5513	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2022:40:16%20GMT	https://dw0mieutazhgr.cloudfront.net/css/text-animation.css	C:/My%20Web%20Sites/schoolsolver/dw0mieutazhgr.cloudfront.net/css/text-animation.css	(from https://www.schoolsolver.com/)
13:27:48	112032/112032	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2013:21:21%20GMT	https://cdn.provesrc.com/provesrc.js	C:/My%20Web%20Sites/schoolsolver/cdn.provesrc.com/provesrc.js	(from https://www.schoolsolver.com/)
13:27:48	54477/54477	---MCZ	200	added ('OK')	text/css	date:Sat,%2016%20Dec%202017%2012:38:51%20GMT	https://dw0mieutazhgr.cloudfront.net/css/cometchat/cometchat.css	C:/My%20Web%20Sites/schoolsolver/dw0mieutazhgr.cloudfront.net/css/cometchat/cometchat.css	(from https://www.schoolsolver.com/)
13:27:50	43/43	---MC-	200	added ('OK')	image/gif	date:Sat,%2018%20Aug%202018%2010:27:53%20GMT	http://in.getclicky.com/100728630ns.gif	C:/My%20Web%20Sites/schoolsolver/in.getclicky.com/100728630ns.gif	(from https://www.schoolsolver.com/)
